,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,original_title
861,The November Man,2014,R,27 Aug 2014,108 min,"Action, Adventure, Crime",Roger Donaldson,"Michael Finch, Karl Gajdusek, Bill Granger","Pierce Brosnan, Luke Bracey, Olga Kurylenko",An ex-C.I.A. operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high-level C.I.A. officials and the Russian President-elect.,"English, Russian","United States, Serbia",,https://m.media-amazon.com/images/M/MV5BNTkzMDk5NjUxNV5BMl5BanBnXkFtZTgwMzMwOTMyMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38.0,6.3,"72,339",tt2402157,movie,,"$25,018,119",,,True,,The November Man
862,PK,2014,Not Rated,19 Dec 2014,153 min,"Comedy, Drama, Musical",Rajkumar Hirani,"Rajkumar Hirani, Abhijat Joshi","Aamir Khan, Anushka Sharma, Sanjay Dutt",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religious views on people.,Hindi,India,22 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BMTYzOTE2NjkxN15BMl5BanBnXkFtZTgwMDgzMTg0MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",,8.1,"212,778",tt2338151,movie,,"$10,616,104",,,True,,PK
863,The Cat in the Hat Knows a Lot About That!,2010–2018,TV-Y,11 Feb 2010,26 min,"Animation, Adventure, Comedy",,,"Martin Short, Alexa Torrington, Jacob Ewaniuk","The Cat in The Hat knows a lot about virtually every thing. With the help of fish, thing 1, and thing 2; the Cat in the Hat teaches kids about many things through song and games.",English,"Canada, United Kingdom, United States",2 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BMzk0MTYxOTMtMjMzNi00NDk0LWFmMzUtY2NlMDZkZjAyNjJmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",,6.4,813,tt1699440,series,,,,,True,3.0,The Cat in the Hat Knows a Lot About That!
864,Dreamworks How to Train Your Dragon Legends,2010,Unrated,01 Mar 2010,57 min,"Animation, Adventure, Comedy, Family, Fantasy",Tom Owens,,"Jay Baruchel, Gerard Butler","Prepare for high-flying adventures with Hiccup, Toothless and the rest of the Dragon Trainers. Meet new dragons, learn the secrets of the legendary Boneknapper and see what is in store for the holidays on the festive island of Berk.",English,USA,,https://m.media-amazon.com/images/M/MV5BMTQzMjE5NDQwMl5BMl5BanBnXkFtZTgwMjI2NzA2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",,7.7,"1,300",tt2542490,movie,,,,,True,,Dreamworks How to Train Your Dragon Legends
865,The Heirs,2015,,04 Oct 2017,72 min,Drama,Jorge Hernandez Aldana,"Jorge Hernandez Aldana, Gabriel Nuncio","Máximo Hollander, Sebastián Aguirre, Úrsula Pruneda","Teenagers' leisure at full swing: a group of friends spend their holidays at parties, having sex, boozing, and partaking in any adventure that brings them a boost of adrenaline. As they use violence for entertainment and to fulfil...",Spanish,Mexico,1 nomination,https://m.media-amazon.com/images/M/MV5BNDg2YjljZjItNmI5My00M2MwLTg0MDEtNGE1NWVhMWI3ODdhXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",,5.8,243,tt2903370,movie,,,,,True,,The Heirs
866,Bonnie & Clyde,2013,TV-14,08 Dec 2013,,"Biography, Crime, Drama",,,"Emile Hirsch, Holliday Grainger, Sarah Hyland","Bonnie Parker and Clyde Barrow, an American robbery team, were responsible for a 21-month crime spree from 1932. They robbed gas stations, restaurants, and small-town banks, chiefly operating in Texas, Oklahoma, as well as other s...",English,United States,Nominated for 4 Primetime Emmys. 16 nominations total,https://m.media-amazon.com/images/M/MV5BYzI5ZjBkYmUtN2QwOC00MmZiLWJlNTUtOGMwOTQ2ODMyMDcyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",,6.4,"6,050",tt2707792,series,,,,,True,1.0,Bonnie & Clyde
867,Bill Burr: I'm Sorry You Feel That Way,2014,TV-MA,05 Dec 2014,80 min,Comedy,Jaime Eliezer Karas,Bill Burr,Bill Burr,Comedian Bill Burr's 2014 stand-up comedy special.,English,United States,,https://m.media-amazon.com/images/M/MV5BMTk0MzI5MjAxNV5BMl5BanBnXkFtZTgwNDY1NzA0NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",,8.2,"9,234",tt3823690,movie,,,,,True,,Bill Burr: I'm Sorry You Feel That Way
868,Copenhagen,2014,Not Rated,03 Oct 2014,98 min,"Adventure, Drama, Romance",Mark Raso,Mark Raso,"Gethin Anthony, Frederikke Dahl Hansen, Sebastian Armesto","When the girl of your dreams is half your age, it's time to grow up.","English, Danish","Canada, United States, Denmark",6 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMTY5NDQwODE1Ml5BMl5BanBnXkFtZTgwMjg0MjYyMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71.0,7.0,"14,103",tt2459156,movie,,,,,True,,Copenhagen
869,Black Ink Crew New York,2012–,TV-14,01 Dec 2012,2 min,Reality-TV,,,"Ashley Nicole Bermudez, Ceaser Emanuel, Dutchess Lattimore",Black Ink Crew: Black Ink documents the tattoo artists at a Harlem tattoo shop and all of the celebrities they cater to.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BYjJhZTM1MjQtMTA3OC00YmJlLTk3NzQtZGZjMzg1ZGYzMWE5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",,5.1,522,tt2738096,series,,,,,True,10.0,Black Ink Crew New York
870,Thanks for Sharing,2012,R,14 Sep 2013,112 min,"Comedy, Drama, Romance",Stuart Blumberg,"Stuart Blumberg, Matt Winston","Mark Ruffalo, Tim Robbins, Gwyneth Paltrow",A romantic comedy that brings together three disparate characters who are learning to face a challenging and often confusing world as they struggle together against a common demon: sex addiction.,English,United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMjA5MzI3ODcxMF5BMl5BanBnXkFtZTcwODY5MTc4OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54.0,6.4,"29,810",tt1932718,movie,,"$1,065,881",,,True,,Thanks for Sharing
871,Queen,2013,Not Rated,07 Mar 2014,146 min,"Adventure, Comedy, Drama",Vikas Bahl,"Vikas Bahl, Chaitally Parmar, Parveez Shaikh","Kangana Ranaut, Rajkummar Rao, Lisa Haydon",A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,Hindi,India,28 wins & 31 nominations total,https://m.media-amazon.com/images/M/MV5BZWU0ZWFhODYtMWE5NC00YzNiLWJlZTctMjFhODhjNDdmZjFmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",,8.1,"69,745",tt3322420,movie,20 Nov 2016,,,,True,,Queen
872,Talking Tom and Friends,2014–2021,TV-G,23 Dec 2014,11 min,"Animation, Short, Adventure",,"Boris Dolenc, Samo Login, Tom Martin","Tom Kenny, Colin Hanks, James Adomian","Talking Tom and Friends, armed with tech and humor, pursue dreams, warmly entertaining despite plans going awry and breaking funny bones.",English,"United Kingdom, Austria, Thailand, Spain, United States, Slovenia, Cyprus, Singapore",,https://m.media-amazon.com/images/M/MV5BMjc1N2IwOTEtNzNiZS00YjczLWEwZmQtZjZmNmVlOTdmZmZiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",,6.0,737,tt4648640,series,,,,,True,6.0,Talking Tom and Friends
873,The Haunted Hathaways,2013–2015,TV-Y7,13 Jul 2013,30 min,"Comedy, Family, Fantasy",,Robert Peacock,"Chico Benymon, Ginifer King, Amber Frank","After being uprooted from New York to New Orleans, the Hathaways are ready to resume their normal lives in their new home. They just don't know that a family of ghosts have the same idea.",English,United States,3 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BZjA2MjFmYzgtNmNjMy00ODJjLTkxZGMtNTQyMDBhYjlhMDY5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",,5.2,"3,023",tt2535732,series,,,,,True,2.0,The Haunted Hathaways
874,Virunga,2014,Not Rated,07 Nov 2014,100 min,"Documentary, War",Orlando von Einsiedel,Orlando von Einsiedel,"André Bauma, Emmanuel de Merode, Mélanie Gouby",A team of brave individuals risk their lives to protect the last mountain gorillas.,"English, French, Swahili","United Kingdom, The Democratic Republic of Congo",Nominated for 1 Oscar. 42 wins & 28 nominations total,https://m.media-amazon.com/images/M/MV5BMzE1NTIyODM5N15BMl5BanBnXkFtZTgwOTExMzc2MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '95/100'}]",95.0,8.1,"12,546",tt3455224,movie,,,,,True,,Virunga
875,Nagi-Asu: A Lull in the Sea,2013–2014,TV-PG,03 Oct 2013,23 min,"Animation, Drama, Fantasy",,"Mari Okada, Toshiya Shinohara","Natsuki Hanae, Mikako Komatsu, Bryce Papenbrook","Long ago, humanity lived in the sea, but some humans longed to go to land and eventually left the sea behind.","English, Japanese",Japan,2 nominations total,https://m.media-amazon.com/images/M/MV5BNTQ5NmEyMDQtNDA5Zi00ZTRiLWEzZWEtOWJmODUwYTllYTJiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",,7.4,"1,557",tt3104236,series,,,,,True,1.0,Nagi-Asu: A Lull in the Sea
876,Mike Birbiglia: My Girlfriend's Boyfriend,2013,Not Rated,04 Sep 2013,76 min,Comedy,Seth Barrish,"Mike Birbiglia, Joe Birbiglia",Mike Birbiglia,Mike Birbiglia tells the touching story of his believing and disbelieving in love.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTg1MDdkZWYtZDBjOC00NzJkLWJiYzctMTRhZDBmNGNlM2Q4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",,7.9,"3,742",tt2937390,movie,23 Aug 2013,,,,True,,Mike Birbiglia: My Girlfriend's Boyfriend
877,Effie Gray,2014,PG-13,10 Oct 2014,104 min,"Biography, Drama, Romance",Richard Laxton,Emma Thompson,"Dakota Fanning, Greg Wise, Tom Sturridge","A look at the scandalous love triangle between Victorian art critic John Ruskin (Greg Wise), his teenage bride Euphemia ""Effie"" Gray (Dakota Fanning), and Pre-Raphaelite painter John Everett Millais (Tom Sturridge).",English,United Kingdom,2 nominations total,https://m.media-amazon.com/images/M/MV5BMjAyNjQ1NDc3Nl5BMl5BanBnXkFtZTgwNjY5MTE0NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54.0,6.0,"7,242",tt1605798,movie,,"$352,534",,,True,,Effie Gray
878,Elena,2011,Not Rated,29 Sep 2011,109 min,"Crime, Drama, Thriller",Andrey Zvyagintsev,"Oleg Negin, Andrey Zvyagintsev","Nadezhda Markina, Andrey Smirnov, Aleksey Rozin","When a sudden illness and an unexpected reunion threaten dutiful housewife Elena's potential inheritance, she must hatch a desperate plan ...",Russian,Russia,24 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BN2I3M2Q2MmEtOTRkNy00YzU4LWJmYmItMTAxYTMxNWMwMmE0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87.0,7.3,"15,503",tt1925421,movie,,"$233,380",,,True,,Elena
879,The Haunting in Connecticut 2: Ghosts of Georgia,2013,R,01 Feb 2013,100 min,"Drama, Horror, Mystery",Tom Elkins,David Coggeshall,"Abigail Spencer, Chad Michael Murray, Katee Sackhoff",A young family moves into a historic house in Georgia and learns that they're not the house's only inhabitants. They find themselves in the presence of a secret rising from underground that threatens to bring down anyone in its path.,English,United States,,https://m.media-amazon.com/images/M/MV5BMTk0MTA0NDAwOF5BMl5BanBnXkFtZTcwMDQ0NzQ4OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '26/100'}]",26.0,5.3,"18,794",tt1457765,movie,,,,,True,,The Haunting in Connecticut 2: Ghosts of Georgia
880,Pac-Man and the Ghostly Adventures,2013–2016,TV-Y7,15 Jun 2013,30 min,"Animation, Action, Adventure",,,"Gabriel C. Brown, Erin Mathews, Ashleigh Ball",Pac-Man saves Pac World from ghosts with his friends Cyli and Spiral.,"English, Japanese, Spanish","United States, Japan, Canada, France",7 nominations,https://m.media-amazon.com/images/M/MV5BNjdhZGEwNDctYjE2ZS00YWU5LWJjNDctN2U1N2U1NWY2YWViXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",,4.6,924,tt2392179,series,,,,,True,3.0,Pac-Man and the Ghostly Adventures
881,The Nut Job,2014,PG,17 Jan 2014,85 min,"Animation, Adventure, Comedy",Peter Lepeniotis,"Peter Lepeniotis, Lorne Cameron, Daniel Woo","Will Arnett, Brendan Fraser, Liam Neeson","An incorrigibly self-serving exiled squirrel finds himself helping his former park brethren survive by raiding a nut store, a location that also happens to be a front for a human gang's bank robbery.","English, Dutch","Canada, South Korea, United States",1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ1NjAxMDUzN15BMl5BanBnXkFtZTgwOTE5NDM3MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37.0,5.7,"31,317",tt1821658,movie,,"$64,251,541",,,True,,The Nut Job
882,Yowamushi Pedal,2013–,TV-14,07 Oct 2013,23 min,"Animation, Comedy, Drama",,Wataru Watanabe,"Daiki Yamashita, Kôsuke Toriumi, Ayaka Suwa","Onoda is a cheerful otaku looking to join his new school's anime club, eager to finally make some friends. Unfortunately, the club has been disbanded and somehow he stumbled into the bicycle club.","Japanese, Spanish, Tagalog, Arabic",Japan,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BZWEzYTQ3YWQtNTAwNi00MWZhLTk1ZWYtOGNlMzc1YTAyNmIzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",,7.6,"1,053",tt2942228,series,,,,,True,5.0,Yowamushi Pedal
883,Ever After High,2013–2017,TV-Y,30 May 2013,,"Animation, Adventure, Comedy",,,"Cindy Robinson, Jamieson Price, Todd Haberkorn","The students of all the fairytale characters attend Ever After High, where they are either Royals (students who want to follow in their parent's footsteps) or Rebels (students who wish to write their own destiny).",English,"Canada, United States",,https://m.media-amazon.com/images/M/MV5BMDk4YzZiMTEtZDVmMC00YTc4LWE1N2EtYzUwYWVmNTUwM2Y3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",,7.8,"2,120",tt3312378,series,,,,,True,4.0,Ever After High
884,Dérapages,2014–,,01 Jan 2015,,Drama,,,Mathilde Lebrequier,,French,France,,,[],,,14,tt3680084,series,,,,,True,2.0,Dérapages
885,Lalaloopsy,2013–2015,,29 Mar 2013,,"Animation, Adventure, Family",,Amandine Consorti,"Malia Ashley Kerr, Tate McRae, Hayley Stone",The myriad misadventures of all the sweet little doll friends living together in Lalaloopsyland.,English,United States,,https://m.media-amazon.com/images/M/MV5BMTg0OTYzNTk2OV5BMl5BanBnXkFtZTgwMjk5ODAxMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",,4.6,143,tt2827502,series,,,,,True,3.0,Lalaloopsy
886,Haider,2014,Not Rated,02 Oct 2014,160 min,"Action, Crime, Drama",Vishal Bhardwaj,"William Shakespeare, Basharat Peer, Vishal Bhardwaj","Shahid Kapoor, Tabu, Shraddha Kapoor","A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",Hindi,India,35 wins & 47 nominations,https://m.media-amazon.com/images/M/MV5BMjA1NTEwMDMxMF5BMl5BanBnXkFtZTgwODkzMzI0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",,8.0,"58,694",tt3390572,movie,,"$1,048,143",,,True,,Haider
887,Omar,2013,Not Rated,01 Aug 2013,98 min,"Crime, Drama, Romance",Hany Abu-Assad,Hany Abu-Assad,"Adam Bakri, Leem Lubany, Eyad Hourani",A young Palestinian freedom fighter agrees to work as an informant after he's tricked into an admission of guilt by association in the wake of an Israeli soldier's killing.,"Arabic, Hebrew",Occupied Palestinian Territory,Nominated for 1 Oscar. 13 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMjIxMjY1NTQ5Ml5BMl5BanBnXkFtZTgwMjMwMTAyMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,7.5,"15,858",tt2852406,movie,,"$356,000",,,True,,Omar
888,Tom Segura: Completely Normal,2014,Not Rated,15 Mar 2014,74 min,Comedy,Jay Chapman,Tom Segura,Tom Segura,Levelheaded stand-up Tom Segura shares offhand appraisals on hotels and opens up about his hobbies and digestive ailments in this comedy special.,English,United States,,https://m.media-amazon.com/images/M/MV5BMTcyODE0Mzk1Nl5BMl5BanBnXkFtZTgwMDk4ODE0NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",,7.7,"3,189",tt3500822,movie,,,,,True,,Tom Segura: Completely Normal
889,Search Party,2016–2022,TV-MA,17 Nov 2016,24 min,"Comedy, Crime, Drama",,"Sarah-Violet Bliss, Charles Rogers, Michael Showalter","Alia Shawkat, John Reynolds, John Early",Search Party is a dark comedy about four self-absorbed twenty-somethings who become entangled in an ominous mystery when a former college acquaintance suddenly disappears.,English,United States,3 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BYzcwNWFiODUtNmUyOC00Y2JkLTliYmUtYTM3MWIwNWY5ODM3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",,7.6,"14,484",tt5460226,series,,,,,True,5.0,Search Party
890,Some Assembly Required,2014–2016,TV-Y7,20 Jun 2015,1 min,"Comedy, Family",,"Howard Nemetz, Dan Signer","Kolton Stewart, Harrison Houde, Sydney Scotia",A 14-year-old takes ownership of a toy company and hires a group of his friends to help him create amazing new toys.,English,Canada,9 wins & 17 nominations,https://m.media-amazon.com/images/M/MV5BMTczNDc2MzM4MF5BMl5BanBnXkFtZTgwMzgxNjk5MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",,4.6,"1,199",tt3441810,series,,,,,True,3.0,Some Assembly Required
891,Miniforce,2014–2016,TV-Y7,03 Sep 2014,20 min,"Animation, Action, Adventure",,,"Um Sang-Hyun, Jeon Tae-Yeol, Soyoung Lee",Four animal superheroes called the miniforce transform into robots to protect small and defenceless creatures from the hands of scheming villains.,Korean,South Korea,,https://m.media-amazon.com/images/M/MV5BMmQ2YmNkODQtNTRkMy00OTI1LWIwYTYtZDBhM2YxMjVlMWUwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",,5.0,95,tt9198020,series,,,,,True,,Miniforce
892,VeggieTales in the House,2014–2016,TV-Y,26 Nov 2014,,"Animation, Short, Adventure",,,"Phil Vischer, Mike Nawrocki, Tress MacNeille","Bob the Tomato, Larry the Cucumber, and their Veggie pals embark on new in-home adventures in this Netflix series, featuring upbeat songs and seamlessly weaving moral messages.",,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMmZhM2QxNzctZGU4ZS00NmI3LWI3ZWYtNGE3MGI4MGJkYWVmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]",,4.1,360,tt3692064,series,,,,,True,4.0,VeggieTales in the House
893,Stand by Me Doraemon,2014,TV-PG,24 Oct 2014,95 min,"Animation, Comedy, Drama","Tony Oliver, Ryuichi Yagi, Takashi Yamazaki","Fujio F. Fujiko, Takashi Yamazaki","Wasabi Mizuta, Megumi Ôhara, Satoshi Tsumabuki",What will happen to Nobita's life after Doraemon leaves?,Japanese,"Japan, United States",3 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BZDM2NmNiZWYtMGRlYy00NGM4LTliZGUtMzE1ZWZmMTllMjUwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",,7.3,"10,388",tt3331846,movie,,,,,True,,Stand by Me Doraemon
894,Black Money Love,2014–2015,TV-MA,12 Mar 2014,90 min,"Action, Crime, Drama",,,"Tuba Büyüküstün, Engin Akyürek, Burak Tamdogan","Omar is a police officer. After the death of his fiancé he suffers great pain. Sibel, Omar's fiancée's body was found on the top of a cliff, in a car next to a fairly old, rich business man. After the shock of her sudden death and...","Turkish, Italian",Turkey,1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BMjY0YmMzZWItNTg4NS00ODgyLTk5NzUtYWFmNDkzNDY3NWYxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",,7.6,"7,893",tt3565486,series,,,,,True,2.0,Black Money Love
895,Berserk: The Golden Age Arc III - The Advent,2013,Not Rated,01 Feb 2013,110 min,"Animation, Action, Adventure",Toshiyuki Kubooka,"Kentaro Miura, Ichirô Ôkouchi","Marc Diraison, Hiroaki Iwanaga, Carrie Keranen",A year has passed since Guts parted ways with Griffith. The Band of the Hawk is plotting a rescue mission to save Griffith who is confined to prison.,"Japanese, English",Japan,4 nominations,https://m.media-amazon.com/images/M/MV5BYzNkOGUxOTUtMWVkNy00YjcxLWEzZTYtYTRhNTIwMWFmOGYyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",,7.8,"12,207",tt2358913,movie,,,,,True,,Berserk: The Golden Age Arc III - The Advent
896,The Square,2017,R,25 Aug 2017,151 min,"Comedy, Drama",Ruben Östlund,Ruben Östlund,"Claes Bang, Elisabeth Moss, Dominic West",A prestigious Stockholm museum's chief art curator finds himself in times of both professional and personal crisis as he attempts to set up a controversial new exhibit.,"Swedish, English, Danish","Sweden, Germany, France, Denmark, United States",Nominated for 1 Oscar. 33 wins & 46 nominations total,https://m.media-amazon.com/images/M/MV5BNTQ3NzJhYjktYmRkYy00ODMxLThhMGItYWQyODJmZjEyMTgzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73.0,7.1,"81,000",tt4995790,movie,,"$1,502,347",,,True,,The Square
897,2 States,2014,Not Rated,18 Apr 2014,149 min,"Comedy, Drama, Romance",Abhishek Varman,"Chetan Bhagat, Abhishek Varman, Hussain Dalal","Arjun Kapoor, Alia Bhatt, Amrita Singh",This movie chronicles how Chetan met his wife and the difficulties they faced due to their cultural differences.,Hindi,India,11 wins & 42 nominations,https://m.media-amazon.com/images/M/MV5BMTUwNjQ3Nzk5N15BMl5BanBnXkFtZTgwMjI4MTgzMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}]",,6.9,"27,443",tt2372678,movie,,"$2,238,174",,,True,,2 States
898,Moving Art,2014–2019,,06 Jan 2014,25 min,Documentary,,,,"Experience nature's art as filmmaker Louie Schwartzberg highlights the beauty that lurks in oceans, forests, deserts and flowers.",,United States,,https://m.media-amazon.com/images/M/MV5BZjE0YjhiMGQtMjRlNC00ZWY3LWJkMDQtMTcyZDk1MmE5NzkyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",,8.5,601,tt6953912,series,,,,,True,3.0,Moving Art
899,Turbo FAST,2013–2016,TV-Y7,24 Dec 2013,1 min,"Animation, Action, Adventure",,,"Reid Scott, Amir Talai, Eric Bauza",Indy 500 champion Turbo and his friends race other species and battle enemies in the snail populated world of Starlight City.,English,United States,10 nominations,https://m.media-amazon.com/images/M/MV5BZWI0MGRlNTktMGI5OS00YWM3LWFkMTYtOGMyM2YyZDZlNmMxXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,777,tt3010520,series,,,,,True,3.0,Turbo FAST
900,All Hail King Julien,2014–2017,TV-Y7,19 Dec 2014,23 min,"Animation, Action, Adventure",,,"Danny Jacobs, Andy Richter, Kevin Michael Richardson",Animated misadventures of a hard-partying lemur and his wild friends in Madagascar.,English,"United States, Canada, United Kingdom",5 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BNTcwNDM2Nzc5NV5BMl5BanBnXkFtZTgwNDA3NjY4MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,7.1,"2,633",tt3807022,series,,,,,True,5.0,All Hail King Julien
901,The Short Game,2013,PG,20 Sep 2013,99 min,"Documentary, Sport",Josh Greenbaum,,"Amari Avery, Jed Dy, Allan Kournikova",The best 7-year-old golfers from around the world descend on the world-famous Pinehurst Golf course in North Carolina to determine the next world champion and who might become golf's next phenomenon. Most of these young prodigies ...,"English, French",United States,4 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTQ1NDYxNTU0Nl5BMl5BanBnXkFtZTcwNDg0MDMyOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51.0,7.3,"1,740",tt2466830,movie,,"$39,819",,,True,,The Short Game
